Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
PUGH,Indians,155,1678,0.4%,817,38691
MCGILL,Indians,155,1678,0.6%,1218,26354
SIMMS,Indians,155,1678,0.6%,1221,26296
FRASER,Indians,155,1678,0.6%,1312,24616
MICHEL,Indians,155,1678,0.7%,1539,21487
HUDDLESTON,Indians,155,1678,0.9%,1957,16872
HOBSON,Indians,155,1678,0.9%,2011,16517
BARGER,Indians,155,1678,1.1%,2275,14635
JEROME,Indians,155,1678,1.9%,3987,8179
MARCHAND,Indians,155,1678,2.5%,5150,6251
DOCTOR,Indians,155,1678,4.9%,9442,3159
CHICO,Indians,155,1678,6.4%,11774,2436
OSIFE,Indians,155,1678,84.7%,93006,183
DEMARRIAS,Indians,155,1678,88.6%,96480,175
TWOCROW,Indians,155,1678,90.6%,98298,171
BLUEEYES,Indians,155,1678,94.5%,101654,164
SALINAS,Indians,154,1694,0.3%,490,61582
MAYES,Indians,154,1694,0.6%,1302,24853
ERVIN,Indians,154,1694,0.6%,1321,24511
GAGNON,Indians,154,1694,0.7%,1604,20567
FRIEND,Indians,154,1694,0.9%,1908,17312
CONN,Indians,154,1694,1.1%,2288,14553
SEBASTIAN,Indians,154,1694,1.4%,3055,10878
FUNMAKER,Indians,154,1694,85.1%,93841,181
WAUPOOSE,Indians,154,1694,86.0%,94676,179
LITTLELIGHT,Indians,154,1694,90.1%,98298,171
SPOTTEDBEAR,Indians,154,1694,91.7%,99725,168
GISHIE,Indians,154,1694,96.9%,104257,159
POORBEAR,Indians,154,1694,97.5%,104819,158
ROJAS,Indians,153,1707,0.2%,393,73071
AYALA,Indians,153,1707,0.2%,449,66515
AGUIRRE,Indians,153,1707,0.3%,508,58918
RUBIO,Indians,153,1707,0.4%,866,36531
PIPER,Indians,153,1707,0.7%,1537,21526
RAINES,Indians,153,1707,0.8%,1614,20373
TRIPP,Indians,153,1707,0.8%,1653,19886
CAPPS,Indians,153,1707,0.8%,1830,18013
RUDD,Indians,153,1707,1.1%,2343,14167
MACE,Indians,153,1707,1.3%,2734,12114
KIPP,Indians,153,1707,2.6%,5359,5978
PRINTUP,Indians,153,1707,26.4%,36463,579
PITKA,Indians,153,1707,63.0%,74164,243
POSTOAK,Indians,153,1707,75.0%,85297,204
LAUGHING,Indians,153,1707,93.3%,101654,164
COSAY,Indians,153,1707,94.4%,102691,162
CHASINGHAWK,Indians,153,1707,95.0%,103193,161
FUENTES,Indians,152,1724,0.3%,530,56441
BERGER,Indians,152,1724,0.3%,716,43556
CHERRY,Indians,152,1724,0.4%,922,34615
ACKERMAN,Indians,152,1724,0.6%,1300,24862
CLIFTON,Indians,152,1724,0.6%,1320,24523
HEALY,Indians,152,1724,0.7%,1540,21407
BULL,Indians,152,1724,1.4%,2936,11254
TYNER,Indians,152,1724,2.3%,4831,6669
MIX,Indians,152,1724,2.6%,5472,5841
LEFLORE,Indians,152,1724,6.1%,11507,2509
PAPPAN,Indians,152,1724,41.6%,53191,365
IRON,Indians,152,1724,55.1%,66878,276
WHITEBEAR,Indians,152,1724,71.0%,82019,214
KEPLIN,Indians,152,1724,76.0%,86657,200
YANKTON,Indians,152,1724,76.8%,87348,198
DUMARCE,Indians,152,1724,84.9%,94676,179
DELEON,Indians,151,1740,0.2%,460,65598
GOOD,Indians,151,1740,0.4%,929,34430
GIBBONS,Indians,151,1740,0.5%,1104,28993
THURMAN,Indians,151,1740,0.7%,1450,22564
ABEL,Indians,151,1740,0.8%,1809,18243
LADD,Indians,151,1740,0.9%,2096,15898
QUALLS,Indians,151,1740,1.3%,2948,11222
TOWNE,Indians,151,1740,2.3%,4906,6581
JEFF,Indians,151,1740,15.2%,23739,995
IVANOFF,Indians,151,1740,22.8%,32743,661
SPOONHUNTER,Indians,151,1740,92.1%,101654,164
CERVANTES,Indians,150,1751,0.3%,520,57685
VINSON,Indians,150,1751,0.6%,1318,24557
INMAN,Indians,150,1751,0.6%,1386,23460
JEWELL,Indians,150,1751,0.6%,1407,23143
MADRID,Indians,150,1751,0.7%,1580,20834
WATT,Indians,150,1751,1.0%,2246,14872
SWANN,Indians,150,1751,1.3%,2773,11941
MAESTAS,Indians,150,1751,1.9%,4198,7830
WHITFORD,Indians,150,1751,3.1%,6475,4836
LAFONTAINE,Indians,150,1751,4.3%,8657,3497
CLYDE,Indians,150,1751,4.4%,8794,3432
FEATHERS,Indians,150,1751,5.0%,9945,2993
JOURDAIN,Indians,150,1751,19.9%,29516,754
BATTISE,Indians,150,1751,46.2%,58397,325
MORA,Indians,149,1765,0.4%,759,41348
GOFF,Indians,149,1765,0.5%,1001,31806
CHILDRESS,Indians,149,1765,0.6%,1324,24485
LACY,Indians,149,1765,0.7%,1467,22250
CONNORS,Indians,149,1765,0.8%,1703,19320
PRATER,Indians,149,1765,0.8%,1769,18565
CATES,Indians,149,1765,0.8%,1844,17907
GROVER,Indians,149,1765,0.9%,2010,16551
BEAVERS,Indians,149,1765,1.0%,2175,15316
CHENEY,Indians,149,1765,1.1%,2563,12970
TRAMMELL,Indians,149,1765,1.2%,2739,12098
DENSON,Indians,149,1765,1.3%,2808,11725
NEEDHAM,Indians,149,1765,1.4%,3074,10809
GOINGS,Indians,149,1765,4.1%,8329,3657
MESHELL,Indians,149,1765,18.1%,27562,823
SHORTMAN,Indians,149,1765,48.2%,60887,309
KLINE,Indians,148,1781,0.3%,694,44900
KENDALL,Indians,148,1781,0.5%,1082,29524
HAMM,Indians,148,1781,0.6%,1216,26392
DOBBS,Indians,148,1781,0.8%,1829,18021
DELONG,Indians,148,1781,0.8%,1875,17575
TILLEY,Indians,148,1781,1.0%,2143,15560
EPPERSON,Indians,148,1781,1.2%,2681,12400
SKIDMORE,Indians,148,1781,1.4%,3091,10745
SEATON,Indians,148,1781,1.7%,3643,8963
SIX,Indians,148,1781,4.2%,8562,3541
NINHAM,Indians,148,1781,78.3%,90652,189
HERRON,Indians,147,1792,0.6%,1248,25776
BIGGS,Indians,147,1792,0.6%,1448,22634
THORPE,Indians,147,1792,0.7%,1569,20960
SEWELL,Indians,147,1792,0.7%,1586,20736
SIZEMORE,Indians,147,1792,0.7%,1674,19607
GOODRICH,Indians,147,1792,0.8%,1692,19399
LACKEY,Indians,147,1792,0.8%,1862,17749
DUPREE,Indians,147,1792,0.9%,2126,15647
SCHAEFFER,Indians,147,1792,1.0%,2156,15448
HAYWARD,Indians,147,1792,1.0%,2218,15044
YOUNGMAN,Indians,147,1792,5.2%,10408,2838
KENTON,Indians,147,1792,9.3%,16625,1588
TWISS,Indians,147,1792,9.9%,17426,1492
LARVIE,Indians,147,1792,75.4%,88461,195
EDMO,Indians,147,1792,87.0%,99214,169
DOSELA,Indians,147,1792,98.0%,109328,150
FITZPATRICK,Indians,146,1808,0.4%,794,39501
HERRING,Indians,146,1808,0.4%,841,37353
STROUD,Indians,146,1808,0.6%,1357,23946
FORREST,Indians,146,1808,0.7%,1474,22124
HOLLIDAY,Indians,146,1808,0.7%,1686,19488
MALLORY,Indians,146,1808,0.9%,1944,16987
KINSEY,Indians,146,1808,1.0%,2169,15357
FREE,Indians,146,1808,1.5%,3385,9666
LEROY,Indians,146,1808,1.9%,4338,7579
TURNEY,Indians,146,1808,2.0%,4496,7263
TIBBETTS,Indians,146,1808,2.3%,5052,6373
TRUAX,Indians,146,1808,2.5%,5548,5755
SILVAS,Indians,146,1808,3.6%,7657,4006
MOOSE,Indians,146,1808,4.1%,8541,3551
TERRANCE,Indians,146,1808,20.7%,31126,705
CHUCULATE,Indians,146,1808,65.2%,79115,224
KEYONNIE,Indians,146,1808,98.0%,109915,149
BRENNAN,Indians,145,1825,0.3%,642,48296
CRAMER,Indians,145,1825,0.5%,1077,29666
SHIPLEY,Indians,145,1825,0.8%,1748,18770
DICKENS,Indians,145,1825,0.8%,1814,18181
AMBROSE,Indians,145,1825,0.9%,1992,16697
BRINK,Indians,145,1825,1.2%,2819,11638
COUTURE,Indians,145,1825,1.8%,3967,8222
CRESPIN,Indians,145,1825,6.4%,12533,2268
BISSONETTE,Indians,145,1825,10.7%,18682,1359
SHIJE,Indians,145,1825,92.4%,105374,157
BITSIE,Indians,145,1825,93.5%,106477,155
GRACE,Indians,144,1836,0.5%,1200,26727
ERWIN,Indians,144,1836,0.7%,1475,22120
DAHL,Indians,144,1836,0.7%,1599,20616
MUNSON,Indians,144,1836,0.8%,1902,17345
MCLAIN,Indians,144,1836,0.8%,1945,16978
OTERO,Indians,144,1836,0.8%,1947,16956
GRUBBS,Indians,144,1836,0.9%,2155,15453
KERNS,Indians,144,1836,1.0%,2206,15113
BLANKS,Indians,144,1836,2.4%,5384,5956
HAZARD,Indians,144,1836,3.7%,7782,3937
FREEMONT,Indians,144,1836,50.9%,65492,283
WHITEHAT,Indians,144,1836,94.7%,108153,152
CHINANA,Indians,144,1836,94.7%,108153,152
WHITEBULL,Indians,144,1836,96.0%,109328,150
CASTANEDA,Indians,143,1850,0.3%,600,51089
HOLLEY,Indians,143,1850,0.5%,1098,29215
WILLS,Indians,143,1850,0.5%,1143,28036
NORWOOD,Indians,143,1850,0.7%,1520,21678
RAMEY,Indians,143,1850,0.7%,1526,21618
EUBANKS,Indians,143,1850,0.7%,1673,19616
THOMASON,Indians,143,1850,0.7%,1678,19549
PRESCOTT,Indians,143,1850,0.9%,1995,16686
TROUT,Indians,143,1850,1.1%,2642,12569
PANTHER,Indians,143,1850,12.9%,21902,1105
BARBONE,Indians,143,1850,24.5%,36276,583
LARNEY,Indians,143,1850,30.8%,43708,465
MOQUINO,Indians,143,1850,78.1%,93006,183
TSETHLIKAI,Indians,143,1850,92.9%,107038,154
KAMEROFF,Indians,143,1850,97.9%,111740,146
EWING,Indians,142,1865,0.4%,969,32925
NANCE,Indians,142,1865,0.6%,1431,22900
LANGSTON,Indians,142,1865,0.7%,1731,18979
MARION,Indians,142,1865,1.0%,2307,14364
PROVOST,Indians,142,1865,1.7%,3840,8497
PICARD,Indians,142,1865,1.8%,4271,7679
LAROSE,Indians,142,1865,2.0%,4602,7055
STATELY,Indians,142,1865,65.4%,81100,217
ZUNI,Indians,142,1865,76.8%,92217,185
DRYWATER,Indians,142,1865,77.6%,93006,183
IRONCLOUD,Indians,142,1865,90.4%,105374,157
MAGEE,Indians,141,1876,0.5%,1237,26031
CORBETT,Indians,141,1876,0.5%,1252,25722
MORELAND,Indians,141,1876,0.8%,1921,17173
ALDRICH,Indians,141,1876,0.8%,1939,17017
BURROWS,Indians,141,1876,0.8%,1946,16972
WOODALL,Indians,141,1876,0.9%,2097,15877
OGLE,Indians,141,1876,1.0%,2362,14050
RIDLEY,Indians,141,1876,1.3%,2987,11099
BRACKETT,Indians,141,1876,1.3%,3156,10458
SUNDAY,Indians,141,1876,4.2%,8920,3375
SANGSTER,Indians,141,1876,5.3%,11032,2644
FRED,Indians,141,1876,8.3%,15765,1699
SALWAY,Indians,141,1876,23.9%,35916,591
CHOSA,Indians,141,1876,65.6%,81700,215
OWLE,Indians,141,1876,71.9%,88083,196
YOUNGBIRD,Indians,141,1876,91.0%,106477,155
LANDRY,Indians,140,1892,0.4%,828,37961
HAYDEN,Indians,140,1892,0.4%,878,36024
TRAVIS,Indians,140,1892,0.4%,960,33339
BELCHER,Indians,140,1892,0.5%,1149,27947
YARBROUGH,Indians,140,1892,0.6%,1350,24063
HANKINS,Indians,140,1892,0.7%,1561,21138
HYATT,Indians,140,1892,0.8%,1791,18396
HEDRICK,Indians,140,1892,0.8%,1795,18359
DOW,Indians,140,1892,1.0%,2278,14622
HARP,Indians,140,1892,1.1%,2484,13295
JAMESON,Indians,140,1892,1.1%,2588,12868
LORENZO,Indians,140,1892,1.1%,2643,12568
HATTON,Indians,140,1892,1.2%,2926,11292
CROMWELL,Indians,140,1892,1.8%,4267,7687
CRUTCHER,Indians,140,1892,2.4%,5449,5872
MCCANN,Indians,139,1907,0.4%,916,34692
SIERRA,Indians,139,1907,0.5%,1227,26181
PADGETT,Indians,139,1907,0.6%,1301,24854
POST,Indians,139,1907,0.6%,1406,23155
DOOLEY,Indians,139,1907,0.6%,1439,22798
DUNHAM,Indians,139,1907,0.6%,1506,21772
MESSER,Indians,139,1907,0.7%,1657,19819
ROYBAL,Indians,139,1907,2.2%,5142,6263
GOUGE,Indians,139,1907,5.0%,10611,2771
BLOSSOM,Indians,139,1907,7.7%,15031,1803
SMILING,Indians,139,1907,39.3%,54522,354
MCCOVEY,Indians,139,1907,59.7%,76700,233
BLACKWOLF,Indians,139,1907,86.3%,103193,161
BEDONI,Indians,139,1907,88.5%,105374,157
FERRELL,Indians,138,1921,0.4%,987,32174
HILTON,Indians,138,1921,0.5%,1139,28098
PENDLETON,Indians,138,1921,0.9%,2076,16026
APODACA,Indians,138,1921,1.4%,3264,10054
SWEAT,Indians,138,1921,1.6%,3752,8679
FREELAND,Indians,138,1921,1.6%,3859,8455
GARROW,Indians,138,1921,5.2%,10904,2679
MOSE,Indians,138,1921,7.3%,14457,1893
RAVE,Indians,138,1921,15.9%,26493,866
MCCURTAIN,Indians,138,1921,36.3%,51458,380
KAULAITY,Indians,138,1921,84.7%,102173,163
SPOTTEDELK,Indians,138,1921,93.9%,111119,147
ROTH,Indians,137,1933,0.2%,527,57030
WALLER,Indians,137,1933,0.4%,904,35001
ANDERSEN,Indians,137,1933,0.4%,954,33508
PICKETT,Indians,137,1933,0.4%,1046,30552
WHITFIELD,Indians,137,1933,0.5%,1125,28475
OGDEN,Indians,137,1933,0.7%,1782,18461
STPIERRE,Indians,137,1933,1.5%,3527,9253
TYNDALL,Indians,137,1933,3.0%,6770,4590
MARIA,Indians,137,1933,3.5%,7915,3880
PICOTTE,Indians,137,1933,25.0%,37986,549
SCHWARTZ,Indians,136,1943,0.2%,330,84699
FRITZ,Indians,136,1943,0.4%,966,33068
MCKNIGHT,Indians,136,1943,0.4%,980,32386
BINGHAM,Indians,136,1943,0.6%,1332,24327
GUNTER,Indians,136,1943,0.6%,1368,23775
TOMPKINS,Indians,136,1943,0.6%,1385,23468
KOENIG,Indians,136,1943,0.6%,1527,21606
MEADE,Indians,136,1943,0.6%,1548,21264
RING,Indians,136,1943,0.7%,1712,19222
JEWETT,Indians,136,1943,1.7%,4082,8030
MATUS,Indians,136,1943,4.2%,9215,3255
BELCOURT,Indians,136,1943,25.5%,38890,534
CLAYMORE,Indians,136,1943,55.5%,73659,245
DEMIENTIEFF,Indians,136,1943,87.7%,106477,155
LONEBEAR,Indians,136,1943,95.8%,114166,142
VILLEGAS,Indians,135,1958,0.4%,917,34684
CRAFT,Indians,135,1958,0.4%,1044,30653
NEFF,Indians,135,1958,0.6%,1455,22509
CHACON,Indians,135,1958,0.6%,1559,21153
BREWSTER,Indians,135,1958,0.7%,1770,18554
DILL,Indians,135,1958,0.8%,1877,17562
ELLSWORTH,Indians,135,1958,1.0%,2506,13213
RAINS,Indians,135,1958,1.2%,2842,11575
BIBLE,Indians,135,1958,3.0%,6806,4562
ADAKAI,Indians,135,1958,88.8%,108153,152
YEPA,Indians,135,1958,96.4%,115489,140
MADDEN,Indians,134,1969,0.4%,926,34472
VENTURA,Indians,134,1969,0.5%,1196,26769
KENDRICK,Indians,134,1969,0.5%,1222,26266
STINSON,Indians,134,1969,0.5%,1254,25694
STILES,Indians,134,1969,0.6%,1570,20957
NORTH,Indians,134,1969,0.7%,1623,20238
WILLOUGHBY,Indians,134,1969,0.9%,2130,15622
COLEY,Indians,134,1969,0.9%,2243,14879
BALES,Indians,134,1969,1.0%,2550,13028
PATTEN,Indians,134,1969,1.2%,2880,11448
LITTLEFIELD,Indians,134,1969,1.4%,3411,9607
NATION,Indians,134,1969,1.9%,4710,6880
DUMONT,Indians,134,1969,2.1%,4980,6472
WILDCAT,Indians,134,1969,76.6%,96480,175
CUCH,Indians,134,1969,81.7%,101654,164
MERCULIEF,Indians,134,1969,90.5%,110523,148
MACDONALD,Indians,133,1985,0.3%,685,45782
SALGADO,Indians,133,1985,0.4%,1012,31627
REYNA,Indians,133,1985,0.5%,1181,27215
WHITLEY,Indians,133,1985,0.5%,1236,26078
HUTCHISON,Indians,133,1985,0.6%,1389,23391
DEVINE,Indians,133,1985,0.6%,1417,23016
DREW,Indians,133,1985,0.6%,1451,22555
MCNEAL,Indians,133,1985,0.7%,1702,19321
WATERMAN,Indians,133,1985,1.1%,2797,11799
WILBUR,Indians,133,1985,1.4%,3363,9722
BLAYLOCK,Indians,133,1985,1.4%,3380,9683
MANSON,Indians,133,1985,1.6%,4032,8090
ARCHAMBEAU,Indians,133,1985,12.7%,22854,1046
LAVERDURE,Indians,133,1985,26.9%,41448,495
FOLEY,Indians,132,1999,0.3%,605,50852
DAVISON,Indians,132,1999,0.6%,1524,21627
KRAFT,Indians,132,1999,0.6%,1528,21579
LATHAM,Indians,132,1999,0.6%,1572,20935
DUVALL,Indians,132,1999,0.7%,1698,19369
DEVORE,Indians,132,1999,1.2%,3005,11040
DOMINGO,Indians,132,1999,1.7%,4140,7922
OLGUIN,Indians,132,1999,1.7%,4197,7835
NAIL,Indians,132,1999,2.5%,5963,5316
MAYLE,Indians,132,1999,2.9%,6772,4588
OLNEY,Indians,132,1999,4.1%,9334,3205
CISCO,Indians,132,1999,4.3%,9723,3067
LECLAIRE,Indians,132,1999,4.9%,10773,2718
ENNO,Indians,132,1999,55.7%,75695,237
SMITH,White,1742947,1,73.3%,1,2376206
JOHNSON,White,1143082,2,61.6%,2,1857160
MILLER,White,967768,3,85.8%,6,1127803
BROWN,White,837886,4,60.7%,4,1380145
JONES,White,786173,5,57.7%,5,1362755
WILLIAMS,White,744317,6,48.5%,3,1534042
DAVIS,White,694122,7,64.7%,7,1072335
ANDERSON,White,591618,8,77.6%,12,762394
WILSON,White,545943,9,69.7%,10,783051
MARTIN,White,521149,10,77.5%,17,672711
TAYLOR,White,488411,11,67.8%,13,720370
MOORE,White,481035,12,68.9%,16,698671
THOMPSON,White,467038,13,72.5%,19,644368
WHITE,White,434295,14,67.9%,20,639515
CLARK,White,421367,15,76.8%,25,548369
THOMAS,White,394649,16,55.5%,14,710696
HALL,White,355697,17,75.1%,30,473568
BAKER,White,339279,18,82.1%,38,413351
NELSON,White,330984,19,80.3%,40,412236
ALLEN,White,325470,20,70.2%,32,463368
YOUNG,White,321085,21,68.9%,31,465948
HARRIS,White,319800,22,53.9%,24,593542
KING,White,319582,23,72.8%,35,438986
ADAMS,White,314648,24,76.2%,39,413086
LEWIS,White,310904,25,61.0%,26,509930
WALKER,White,307051,26,61.3%,28,501307
WRIGHT,White,300771,27,68.3%,34,440367
ROBERTS,White,291361,28,79.6%,45,366215
CAMPBELL,White,284432,29,76.5%,43,371953
JACKSON,White,279306,30,41.9%,18,666125
PHILLIPS,White,277784,31,79.0%,47,351848
HILL,White,275186,32,66.8%,41,411770
SCOTT,White,262977,33,62.6%,36,420091
ROBINSON,White,258255,34,51.3%,27,503028
MURPHY,White,255576,35,85.0%,58,300501
COOK,White,246213,36,83.5%,60,294795
GREEN,White,245316,37,59.3%,37,413477
LEE,White,242889,38,40.1%,22,605860
EVANS,White,241790,39,70.6%,48,342237
PETERSON,White,237333,40,86.3%,63,275041
MORRIS,White,236684,41,75.9%,56,311754
COLLINS,White,234953,42,73.9%,52,317848
MITCHELL,White,233504,43,63.6%,44,367433
PARKER,White,231803,44,71.5%,51,324246
ROGERS,White,229046,45,77.8%,61,294403
STEWART,White,224599,46,71.8%,54,312899
TURNER,White,223787,47,66.7%,49,335663
WOOD,White,222717,48,90.1%,75,247299
CARTER,White,219378,49,60.5%,46,362548
MORGAN,White,216891,50,78.5%,62,276400
COX,White,214386,51,84.5%,72,253771
KELLY,White,209324,52,80.4%,69,260385
EDWARDS,White,206603,53,65.2%,53,317070
BAILEY,White,198825,54,74.8%,66,265916
WARD,White,197681,55,77.8%,71,254121
REED,White,196597,56,73.5%,65,267443
MYERS,White,194675,57,86.6%,85,224824
SULLIVAN,White,192890,58,89.5%,92,215640
COOPER,White,190040,59,70.4%,64,270097
BENNETT,White,188853,60,79.0%,78,239055
HUGHES,White,184888,61,80.6%,83,229390
LONG,White,184047,62,82.3%,86,223494
FISHER,White,177875,63,84.6%,100,210279
PRICE,White,174106,64,76.1%,84,228756
RUSSELL,White,171161,65,79.5%,93,215432
HOWARD,White,170269,66,66.8%,70,254779
GRAY,White,168374,67,71.1%,79,236713
BELL,White,168303,68,63.6%,67,264752
WATSON,White,166260,69,68.6%,76,242432
REYNOLDS,White,162894,70,83.3%,106,195598
FOSTER,White,159149,71,72.0%,87,221040
ROSS,White,157184,72,71.5%,89,219961
OLSON,White,157011,73,96.0%,136,163502
RICHARDSON,White,155334,74,62.2%,74,249533
SNYDER,White,151984,75,95.4%,144,159363
POWELL,White,151500,76,70.0%,91,216553
STEVENS,White,151302,77,83.4%,122,181417
BROOKS,White,150999,78,62.7%,77,240751
PERRY,White,150361,79,70.7%,97,212644
WEST,White,146418,80,77.7%,115,188464
COLE,White,145709,81,77.6%,116,187793
WAGNER,White,145199,82,94.0%,152,154516
MEYER,White,143782,83,96.1%,163,149664
KENNEDY,White,142406,84,83.0%,130,171636
BARNES,White,141932,85,67.4%,99,210426
HAMILTON,White,141454,86,72.8%,107,194331
GRAHAM,White,141364,87,72.8%,108,194074
SCHMIDT,White,140441,88,96.5%,171,145565
SANDERS,White,140140,89,63.4%,88,220902
MCDONALD,White,139449,90,79.2%,127,176094
PATTERSON,White,139169,91,70.1%,104,198557
MURRAY,White,138431,92,77.6%,123,178414
GIBSON,White,137522,93,74.6%,119,184420
WALLACE,White,136889,94,71.8%,113,190760
BUTLER,White,136544,95,64.7%,98,210879
HAYES,White,134306,96,71.6%,117,187473
BURNS,White,133257,97,82.2%,141,162153
ELLIS,White,132484,98,72.8%,121,181934
FOX,White,132356,99,89.8%,167,147357
STONE,White,130927,100,87.4%,162,149802
HENDERSON,White,130636,101,62.2%,101,210094
WELLS,White,130212,102,76.3%,131,170635
RYAN,White,130041,103,93.3%,177,139335
JENKINS,White,128499,104,60.1%,95,213737
HANSEN,White,127655,105,95.6%,193,133474
WEBB,White,127090,106,77.7%,137,163481
JAMES,White,126990,107,54.4%,80,233224
JORDAN,White,126807,108,64.3%,105,197212
GRIFFIN,White,126697,109,66.5%,114,190636
HOFFMAN,White,126610,110,95.5%,195,132645
HARRISON,White,124660,111,71.0%,128,175577
ROSE,White,123754,112,84.2%,168,146924
SIMMONS,White,122099,113,60.5%,103,201650
MARSHALL,White,122082,114,68.9%,125,177213
JOHNSTON,White,120077,115,93.1%,207,128935
OWENS,White,120066,116,68.1%,126,176334
NICHOLS,White,119638,117,84.3%,174,141936
WEAVER,White,118975,118,85.7%,179,138811
KELLEY,White,118036,119,85.8%,184,137555
MILLS,White,117883,120,79.7%,165,147909
ALEXANDER,White,117826,121,60.9%,111,193443
TUCKER,White,117410,122,72.1%,139,162933
PALMER,White,117122,123,77.9%,158,150407
RICE,White,116639,124,79.6%,169,146440
LARSON,White,116379,125,96.1%,224,121064
SIMPSON,White,115975,126,73.3%,145,158241
SHAW,White,115867,127,74.7%,150,155172
CARLSON,White,115583,128,96.2%,225,120124
HUNT,White,115555,129,76.0%,157,151986
BLACK,White,115118,130,76.7%,160,150186
FORD,White,114674,131,64.3%,124,178397
PETERS,White,114311,132,85.2%,190,134231
ARNOLD,White,113619,133,83.4%,187,136315
ROBERTSON,White,113250,134,75.3%,159,150299
PIERCE,White,112927,135,82.7%,186,136517
DUNN,White,112782,136,82.3%,185,136955
CRAWFORD,White,112756,137,71.3%,146,158121
BRYANT,White,112039,138,61.0%,120,183761
CARPENTER,White,111913,139,88.1%,211,127073
PORTER,White,111660,140,71.2%,148,156848
CARROLL,White,111433,141,85.1%,201,131020
ELLIOTT,White,111092,142,83.9%,197,132457
FREEMAN,White,110561,143,68.0%,140,162686
MASON,White,110378,144,71.0%,149,155484
FERGUSON,White,110305,145,77.5%,173,142256
OBRIEN,White,109973,146,95.3%,234,115385
HART,White,109563,147,82.7%,196,132466
COLEMAN,White,108568,148,52.0%,102,208624
WARREN,White,107232,149,72.5%,166,147906
JENSEN,White,107210,150,95.4%,244,112332
GARDNER,White,107087,151,77.2%,182,138660
HICKS,White,106703,152,69.5%,155,153618
STEPHENS,White,106193,153,76.5%,181,138742
HENRY,White,105002,154,65.1%,142,161392
GORDON,White,104968,155,67.8%,151,154934
BURKE,White,104564,156,87.7%,229,119175
WEBER,White,103098,157,95.6%,252,107866
DUNCAN,White,102875,158,78.9%,203,130419
RICHARDS,White,102709,159,81.7%,215,125653
WOODS,White,102436,160,60.7%,133,168814
HANSON,White,102392,161,93.9%,251,109079
LANE,White,102158,162,79.4%,209,128727
PAYNE,White,101713,163,73.7%,183,138028
CHAPMAN,White,101648,164,81.6%,218,124614
SCHULTZ,White,101015,165,96.2%,261,104962
WHEELER,White,100742,166,82.8%,223,121684
RAY,White,99931,167,77.6%,208,128794
CUNNINGHAM,White,99661,168,75.6%,198,131896
WALSH,White,98984,169,95.9%,265,103216
KNIGHT,White,98618,170,74.8%,199,131860
BISHOP,White,98503,171,86.4%,238,114034
BOYD,White,98116,172,65.6%,164,149476
ARMSTRONG,White,97435,173,75.0%,204,129982
SCHNEIDER,White,97205,174,96.7%,272,100553
HUNTER,White,97155,175,62.9%,153,154410
SPENCER,White,96409,176,71.7%,189,134443
LYNCH,White,96388,177,84.2%,237,114448
MORRISON,White,96333,178,81.7%,231,117939
RILEY,White,96072,179,75.1%,210,127960
ANDREWS,White,95994,180,74.2%,206,129320
BERRY,White,94815,181,73.3%,205,129405
BRADLEY,White,93491,182,71.2%,200,131289
PERKINS,White,90795,183,71.5%,212,126951
HUDSON,White,90705,184,69.4%,202,130793
WELCH,White,90568,185,85.6%,259,105804
GILBERT,White,90273,186,80.3%,243,112406
LAWRENCE,White,89424,187,71.9%,219,124321
HOWELL,White,89143,188,81.3%,249,109634
WALTERS,White,88962,189,85.3%,262,104281
HOLMES,White,88928,190,59.2%,161,150166
WILLIAMSON,White,88898,191,79.2%,245,112216
JACOBS,White,88561,192,76.6%,233,115540
DAVIDSON,White,88013,193,86.3%,269,102044
LAWSON,White,87887,194,76.3%,235,115186
KELLER,White,87633,195,92.9%,290,94300
MAY,White,87016,196,85.5%,270,101726
DIXON,White,86725,197,57.1%,156,152015
DAY,White,86608,198,85.2%,271,101676
CARR,White,86319,199,75.8%,239,113892
DEAN,White,86008,200,78.7%,250,109230
GEORGE,White,85569,201,71.4%,227,119778
FOWLER,White,85524,202,83.3%,267,102620
BECK,White,85457,203,91.7%,295,93161
NEWMAN,White,85387,204,85.0%,273,100491
HAWKINS,White,85266,205,63.6%,191,134066
BECKER,White,84942,206,96.4%,315,88114
BOWMAN,White,84756,207,82.9%,268,102239
GREENE,White,84129,208,70.3%,228,119604
HARPER,White,84051,209,70.1%,226,119868
BREWER,White,83728,210,83.3%,274,100465
MATTHEWS,White,82656,211,66.2%,217,124839
POWERS,White,82274,212,91.0%,304,90401
SCHWARTZ,White,81963,213,96.8%,330,84699
WILLIS,White,81331,214,64.7%,216,125627
FULLER,White,80577,215,75.5%,256,106682
BARRETT,White,79805,216,83.2%,288,95896
DANIELS,White,79338,217,57.2%,180,138776
HARVEY,White,79280,218,70.7%,247,112136
COHEN,White,79053,219,90.6%,320,87226
CURTIS,White,79048,220,79.9%,280,98958
WATKINS,White,79027,221,64.5%,222,122447
HOLLAND,White,78769,222,78.9%,276,99885
MONTGOMERY,White,78748,223,70.2%,246,112144
AUSTIN,White,78725,224,69.6%,241,113160
GRANT,White,78075,225,58.3%,192,134034
GARRETT,White,78063,226,72.4%,253,107777
ERICKSON,White,78014,227,96.4%,351,80936
